"Result for search : '%s'","Result for search : '%s'"
"No result for : '%s'","No result for : '%s'"
"Search","Search"
"Back to Album","Back to Album"
"Details","Details"
"View Album","View Album"
"View all","View all"
"New Albums","New Albums"
"Gallery","Gallery"
"All reviews","All reviews"
"Total Rate","Total Rate"
"rates","rates"
"review by","review by"
"on","on"
"Write review","Write review"
"Rate","Rate"
"Name","Name"
"Email","Email"
"Comment","Comment"
"Send","Send"
"Reset","Reset"
"Items %s to %s of %s total","Items %s to %s of %s total"
"%s Item(s)","%s Item(s)"
"Page","Page"
"Previous Page","Previous Page"
"Next Page","Next Page"
"Show","Show"
"per page","per page"
